category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,sign,Enriched group
Organismal Systems,Immune system,mmu04623,Cytosolic DNA-sensing pathway - Mus musculus (house mouse),41/1643,82/9577,0.5,2.914485697,7.922756713,7.41E-12,8.40E-11,5.85E-11,Mlkl/G3bp1/Ccl4/Tbk1/Nfkbia/Ripk1/Ddx41/Ripk3/Mefv/Gsdmd/Sting1/Casp7/Irf7/Il6/Casp1/Casp8/Ifi202b/Il1b/Zbp1/Samhd1/Adar/Polr3c/Polr1d/Nfkbib/Pycard/Ikbkb/Casp3/Cgas/Nlrp3/Polr2f/Cxcl10/Ccl5/Aim2/Rigi/Ikbke/Trex1/Pcbp1/Polr1c/Ifi204/Nfkb1/Ifnb1,41,yes,Severe
Organismal Systems,Immune system,mmu04640,Hematopoietic cell lineage - Mus musculus (house mouse),44/1643,94/9577,0.468085106,2.728454695,7.663264303,2.21E-11,2.42E-10,1.69E-10,Cd3g/Il7r/Cd44/Csf1/Fcgr1/Cd4/H2-Oa/Tnf/Csf1r/Cd5/Ms4a1/Cd7/Il6/Il1r2/Il2ra/Itga4/Il1b/Cd2/Csf3r/Cd38/Cd22/Cd19/Il4ra/Itgam/Cd37/Cd3e/Cd3d/H2-Ea/H2-Aa/H2-DMb2/H2-DMa/Csf3/Anpep/H2-Ob/Flt3/Siglech/Cd8b1/Cd8a/Csf2ra/H2-Eb1/H2-Eb2/H2-Ab1/H2-DMb1/Itgb3,44,yes,Severe
Organismal Systems,Immune system,mmu04660,T cell receptor signaling pathway - Mus musculus (house mouse),52/1643,122/9577,0.426229508,2.48447961,7.509104323,2.88E-11,3.06E-10,2.13E-10,Lck/Cd3g/Lcp2/Ptpn6/Cd247/Cdk4/Vav2/Il10/Fyn/Ppp2ca/Itk/Map3k14/Nfkbia/Ppp3cc/Cblb/Cd4/Nfkbie/Map3k8/Tnf/Icos/Ctla4/Cd28/Zap70/Pdcd1/Ptprc/Prkcq/Rasgrp1/Nfatc2/Bcl10/Tec/Nfkbib/Lat/Cd40lg/Ikbkb/Cd3e/Cd3d/Malt1/Nfatc1/Vav1/Map2k2/Card11/Pik3cd/Ppp2r2d/Grap2/Cd8b1/Cd8a/Ifng/Grb2/Raf1/Map2k1/Ppp2r2a/Nfkb1,52,yes,Severe
Organismal Systems,Immune system,mmu04062,Chemokine signaling pathway - Mus musculus (house mouse),71/1643,193/9577,0.367875648,2.144336627,7.308078537,3.42E-11,3.53E-10,2.46E-10,Ccl3/Hck/Stat3/Ccl8/Vav2/Ncf1/Cxcl16/Ccl4/Dock2/Itk/Pik3cg/Ccl11/Ccl1/Pik3r5/Nfkbia/Prkcd/Cxcl13/Jak2/Grk2/Ccr1/Stat1/Ccl20/Cxcr2/Xcl1/Fgr/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Ccr9/Nfkbib/Was/Ikbkb/Ccl22/Jak3/Rac2/Vav1/Plcg2/Cxcl10/Ccl5/Ccl12/Ccl7/Ccl2/Ccr7/Gngt2/Prex1/Pik3cd/Stat2/Plcb2/Ccr6/Lyn/Ccr8/Cxcr5/Ccr4/Cxcr6/Ccr2/Cxcr3/Rap1b/Prkcb/Cxcl2/Ptk2b/Grb2/Cxcl11/Arrb2/Xcr1/Grk6/Ccr5/Raf1/Map2k1/Crkl/Nfkb1,71,yes,Severe
Human Diseases,Endocrine and metabolic disease,mmu04940,Type I diabetes mellitus - Mus musculus (house mouse),35/1643,67/9577,0.52238806,3.044985056,7.643671848,5.21E-11,5.21E-10,3.63E-10,Fasl/Il12b/Gzmb/H2-M3/Cd86/H2-Oa/Tnf/Lta/Cd28/Il1b/H2-Q4/H2-Ea/H2-Aa/Prf1/H2-DMb2/H2-DMa/H2-Ob/H2-T24/Ifng/H2-T22/H2-Q7/H2-Eb1/H2-K1/H2-T23/H2-Q10/H2-Eb2/H2-Bl/H2-Q6/H2-D1/H2-Ab1/Cd80/H2-T10/H2-Q1/H2-DMb1/H2-Q2,35,yes,Severe
Organismal Systems,Immune system,mmu04620,Toll-like receptor signaling pathway - Mus musculus (house mouse),46/1643,104/9577,0.442307692,2.578198886,7.363755935,8.78E-11,8.37E-10,5.83E-10,Ccl3/Irf9/Il12b/Cd40/Ccl4/Tbk1/Nfkbia/Traf3/Ripk1/Cd86/Ifnar2/Map3k8/Tnf/Irf7/Il6/Ly96/Casp8/Stat1/Il1b/Tlr2/Spp1/Cxcl9/Irf5/Ikbkb/Tyk2/Myd88/Cxcl10/Map2k2/Ccl5/Pik3cd/Stat2/Tlr8/Ikbke/Tlr7/Tlr1/Tlr9/Ticam1/Tlr6/Ticam2/Irak4/Cxcl11/Cd80/Map2k1/Nfkb1/Tlr4/Ifnb1,46,yes,Severe
Cellular Processes,Cell growth and death,mmu04210,Apoptosis - Mus musculus (house mouse),55/1643,136/9577,0.404411765,2.357304608,7.25441725,9.11E-11,8.37E-10,5.83E-10,Fasl/Daxx/Bax/Bid/Gzmb/Ctsz/Birc5/Map3k14/Nfkbia/Eif2s1/Ripk1/Ctsb/Tuba1b/Tnf/Lmnb1/Ctsw/Casp7/Ddit3/Pidd1/Casp8/Tuba4a/Traf1/Traf2/Bcl2l11/Ntrk1/Actb/Ctsc/Ikbkb/Casp3/Birc3/Ctsh/Map2k2/Prf1/Mcl1/Ctss/Pik3cd/Atf4/Tuba1c/Bcl2a1c/Birc2/Bak1/Lmnb2/Cycs/Htra2/Csf2rb/Csf2rb2/Bcl2a1b/Bcl2a1d/Bcl2a1a/Raf1/Map2k1/Ctsd/Apaf1/Nfkb1/Trp53,55,yes,Severe
Human Diseases,Infectious disease: bacterial,mmu05135,Yersinia infection - Mus musculus (house mouse),55/1643,136/9577,0.404411765,2.357304608,7.25441725,9.11E-11,8.37E-10,5.83E-10,Lck/Lcp2/Arpc2/Arpc5/Vav2/Il10/Tbk1/Nfkbia/Mefv/Cd4/Tnf/Il6/Casp1/Zap70/Actr3/Arpc5l/Traf2/Itga4/Il1b/Nfatc2/Arpc3/Actb/Arpc1b/Limk1/Lat/Pycard/Was/Ikbkb/Myd88/Nlrp3/Nfatc1/Rac2/Vav1/Map2k2/Ccl12/Ccl2/Nlrc4/Pik3cd/Arf6/Ticam1/Cd8b1/Cd8a/Ptk2b/Fcgr3/Irak4/Rhog/Wipf1/Arpc4/Rps6ka1/Map2k1/Crkl/Elmo2/Nfkb1/Tlr4/Ifnb1,55,yes,Severe
Cellular Processes,Transport and catabolism,mmu04145,Phagosome - Mus musculus (house mouse),67/1643,183/9577,0.366120219,2.134104281,7.048845783,1.57E-10,1.40E-09,9.77E-10,Itgb2/Tubb6/Tubb5/Tcirg1/Calr/Atp6v1f/Cyba/M6pr/Cybb/Fcgr1/Ncf1/H2-M3/Rab5c/Tuba1b/Atp6v0c/C3/H2-Oa/Tap2/Msr1/Tuba4a/Ncf2/Fcgr2b/Tlr2/Stx18/Actb/Sec61a1/Coro1a/Itgam/H2-Q4/H2-Ea/H2-Aa/Tap1/H2-DMb2/H2-DMa/Ctss/H2-Ob/Tuba1c/Tlr6/Sec61b/H2-T24/C1ra/H2-T22/Tubb2a/Fcgr4/Fcgr3/H2-Q7/H2-Eb1/H2-K1/H2-T23/H2-Q10/H2-Eb2/Ncf4/H2-Bl/H2-Q6/H2-D1/H2-Ab1/Sec61g/Clec7a/H2-T10/H2-Q1/H2-DMb1/H2-Q2/C1rb/Itgb3/Atp6v0a2/Tlr4/Thbs1,67,yes,Severe
Human Diseases,Infectious disease: viral,mmu05161,Hepatitis B - Mus musculus (house mouse),62/1643,164/9577,0.37804878,2.203635527,7.074856657,1.67E-10,1.45E-09,1.01E-09,Fasl/Ccne1/Tgfb1/Bax/Stat3/Stat5a/Bid/Birc5/Tbk1/Nfkbia/Traf3/Map3k1/Myc/Cdkn1a/Tnf/Jak2/Cdk2/Irf7/Il6/Casp8/Stat1/Ifih1/Creb3l1/Pcna/E2f1/Nfatc2/Ccna2/Tlr2/Ccne2/Ikbkb/Casp3/Jak3/Tyk2/Myd88/Nfatc1/Egr3/Map2k2/Pik3cd/Stat2/Rigi/Ikbke/Atf4/Ticam1/Prkcb/Creb5/Ticam2/Ptk2b/Irak4/Grb2/Stat4/Cycs/Raf1/Stat6/Map2k1/Atf6b/Apaf1/Ywhaz/Nfkb1/Egr2/Tlr4/Ifnb1/Trp53,62,yes,Severe
Human Diseases,Infectious disease: bacterial,mmu05134,Legionellosis - Mus musculus (house mouse),32/1643,60/9577,0.533333333,3.108784743,7.456286617,1.73E-10,1.47E-09,1.02E-09,Itgb2/Il12b/Nfkbia/Naip1/C3/Tnf/Casp7/Nfkb2/Il6/Casp1/Casp8/Il1b/Tlr2/Cxcl3/Cxcl1/Itgam/Pycard/Casp3/Myd88/Eef1a1/Nlrc4/Cxcl2/Cycs/Naip5/Eef1g/Naip6/Naip2/Hspa1a/Hspa8/Apaf1/Nfkb1/Tlr4,32,yes,Severe
Organismal Systems,Immune system,mmu04672,Intestinal immune network for IgA production - Mus musculus (house mouse),26/1643,43/9577,0.604651163,3.524494331,7.549806244,2.17E-10,1.80E-09,1.25E-09,Itgb7/Tgfb1/Tnfrsf13b/Il10/Cd40/Map3k14/Cd86/Il15ra/H2-Oa/Il6/Icos/Cd28/Itga4/Ccr9/Cd40lg/H2-Ea/H2-Aa/H2-DMb2/H2-DMa/H2-Ob/H2-Eb1/H2-Eb2/Tnfrsf13c/H2-Ab1/Cd80/H2-DMb1,26,yes,Severe
Human Diseases,Infectious disease: viral,mmu05160,Hepatitis C - Mus musculus (house mouse),61/1643,167/9577,0.365269461,2.12914524,6.698506516,1.16E-09,9.40E-09,6.54E-09,Mx1/Fasl/Irf9/Bax/Stat3/Bid/Cdk4/Ywhah/Tbk1/Ppp2ca/Rsad2/Nfkbia/Eif2s1/Traf3/Ripk1/Eif3e/Myc/Ifnar2/Cdkn1a/Mx2/Eif2ak2/Tnf/Cdk2/Irf7/Casp8/Stat1/Traf2/E2f1/Oas1b/Ikbkb/Casp3/Tyk2/Oas3/Oas2/Ifit1/Cxcl10/Map2k2/Pik3cd/Stat2/Rigi/Ppp2r2d/Ikbke/Ticam1/Cldn4/Ywhag/Socs3/Ifng/Bak1/Grb2/Cycs/Ifit1bl2/Psme3/Ifit1bl1/Raf1/Map2k1/Apaf1/Ppp2r2a/Ywhaz/Nfkb1/Ifnb1/Trp53,61,yes,Severe
Human Diseases,Infectious disease: viral,mmu05167,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),75/1643,223/9577,0.33632287,1.960416388,6.60355901,1.20E-09,9.48E-09,6.61E-09,Tcf7/Irf9/Hck/Bax/Stat3/Bid/Cdk4/H2-M3/Mapkapk2/Tbk1/Rps27a/Pik3cg/Pik3r5/Nfkbia/Hif1a/Traf3/Syk/Ppp3cc/Myc/Cd86/Ifnar2/Cdkn1a/Eif2ak2/C3/Jak2/Irf7/Il6/Ccr1/Casp8/Stat1/Traf2/E2f1/Nfatc2/Cxcl3/Cxcl1/Ikbkb/Casp3/Tyk2/Nfatc1/Plcg2/Map2k2/H2-Q4/Gngt2/Prex1/Pik3cd/Stat2/Lyn/Ccr8/Ikbke/Ticam1/Ccr4/H2-T24/H2-T22/Bak1/Cxcl2/H2-Q7/H2-K1/Cd200r4/Cycs/H2-T23/H2-Q10/H2-Bl/H2-Q6/H2-D1/Ccr5/H2-T10/H2-Q1/Uba52/H2-Q2/Raf1/Map2k1/Nfkb1/Icam1/Ifnb1/Trp53,75,yes,Severe
Human Diseases,Cardiovascular disease,mmu05416,Viral myocarditis - Mus musculus (house mouse),41/1643,94/9577,0.436170213,2.542423693,6.838478591,1.55E-09,1.20E-08,8.36E-09,Itgb2/Bid/H2-M3/Cd40/Fyn/Cd86/H2-Oa/Cd28/Casp8/Actb/Itgal/Cd40lg/Casp3/Rac2/H2-Q4/H2-Ea/H2-Aa/Prf1/H2-DMb2/H2-DMa/H2-Ob/H2-T24/H2-T22/H2-Q7/H2-Eb1/H2-K1/Cycs/H2-T23/H2-Q10/H2-Eb2/H2-Bl/H2-Q6/H2-D1/H2-Ab1/Cd80/H2-T10/H2-Q1/H2-DMb1/H2-Q2/Abl2/Icam1,41,yes,Severe
Organismal Systems,Immune system,mmu04625,C-type lectin receptor signaling pathway - Mus musculus (house mouse),45/1643,112/9577,0.401785714,2.341997435,6.500775082,5.95E-09,4.50E-08,3.13E-08,Irf9/Relb/Il12b/Mapkapk2/Il10/Lsp1/Irf1/Map3k14/Nfkbia/Syk/Prkcd/Ppp3cc/Cblb/Tnf/Nfkb2/Il6/Casp1/Casp8/Stat1/Card9/Il1b/Nfatc2/Bcl10/Plk3/Clec4e/Clec4d/Pycard/Ikbkb/Ccl22/Malt1/Nlrp3/Nfatc1/Egr3/Plcg2/Cyld/Pik3cd/Stat2/Ikbke/Bcl3/Fcer1g/Clec7a/Raf1/Clec4n/Nfkb1/Egr2,45,yes,Severe
Human Diseases,Infectious disease: bacterial,mmu05133,Pertussis - Mus musculus (house mouse),35/1643,77/9577,0.454545455,2.649532452,6.613162224,6.53E-09,4.80E-08,3.34E-08,Itgb2/Il12b/Il10/Irf1/Serping1/C3/C2/Tnf/Casp7/Il6/Ly96/Casp1/Il1b/Cxcl5/Itgam/Pycard/Casp3/Myd88/Nlrp3/C1qa/C1qc/C1qb/C1s1/Irf8/Ticam1/C1ra/Ticam2/Cfl1/Irak4/C4b/C1s2/C1rb/Nos2/Nfkb1/Tlr4,35,yes,Severe
Human Diseases,Neurodegenerative disease,mmu05020,Prion disease - Mus musculus (house mouse),85/1643,273/9577,0.311355311,1.814881203,6.215921556,6.63E-09,4.80E-08,3.34E-08,Cox5a/Tubb6/Tubb5/Psmc3/Bax/Ndufs3/Psmd4/Psmb4/Cyba/Sdhb/Psmb1/Cybb/Psma2/Ncf1/Slc25a5/Psmd3/Psmb6/Fyn/Psmc5/Psmd12/Psma6/Eif2s1/Vdac2/Ppif/Prkcd/Ppp3cc/Psmb5/Cyc1/Tuba1b/Tnf/Ndufb8/Ddit3/Uqcrc1/Il6/Tuba4a/Ndufa10/Cacna1s/Ncf2/Psmb7/Kif5c/Hspa5/Ndufa8/Psmd14/Creb3l1/Il1b/Psma7/Psmb2/Psmc2/Psmd8/Ryr1/Psmc4/Psma1/Cox7b/Casp3/Cox4i1/Psma4/Rac2/Ndufb7/Ccl5/C1qa/C1qc/C1qb/Adrm1/Psmd7/Pik3cd/Cox6a1/Atf4/Tuba1c/Uqcrq/Csnk2a2/Creb5/Tubb2a/Ndufs8/Cox5b/Cycs/Psma5/Psmb3/Ndufb6/Ncf4/Hspa1a/Ndufb1/Atf6b/Hspa8/Apaf1/Stip1,85,yes,Severe
Human Diseases,Infectious disease: bacterial,mmu05132,Salmonella infection - Mus musculus (house mouse),80/1643,252/9577,0.317460317,1.850467109,6.22584243,7.01E-09,4.96E-08,3.46E-08,Tcf7/Tubb6/Tubb5/Bax/Txn2/Arpc2/M6pr/Arpc5/Mlkl/Cyth1/Cyth4/Pfn1/Rab5c/Cyfip2/Pik3cg/Nfkbia/Ripk1/Naip1/Ripk3/Myc/Nckap1l/Gsdmd/Tuba1b/Tnf/Casp7/Il6/Ly96/Casp1/Casp8/Tuba4a/Actr3/Ptprc/Arpc5l/Kif5c/Traf2/Il1b/Tlr2/Rhoh/Arpc3/Actb/Arpc1b/Rps3/Pycard/Ikbkb/Casp3/Birc3/Myd88/Nlrp3/Casp4/Map2k2/Nlrc4/Pik3cd/Ripk2/Tuba1c/Arf6/Tlr9/Tlr6/Birc2/Gapdh/Bak1/Tubb2a/Abi1/Irak4/Cycs/Naip5/Rhog/Naip6/Naip2/Arpc4/Raf1/Map2k1/Elmo2/Hsp90aa1/Hsp90ab1/Kpna4/Nfkb1/Fbxo22/Vps18/Tlr4/Snx18,80,yes,Severe
Human Diseases,Infectious disease: parasitic,mmu05142,Chagas disease - Mus musculus (house mouse),42/1643,103/9577,0.40776699,2.376862122,6.39303566,1.14E-08,7.89E-08,5.50E-08,Fasl/Ccl3/Cd3g/Tgfb1/Calr/Il12b/Cd247/Il10/Ppp2ca/Nfkbia/Ifngr2/C3/Tnf/Il6/Casp8/Il1b/Tlr2/Ikbkb/Cd3e/Cd3d/Myd88/Gna15/Ccl5/Ccl12/Ccl2/C1qa/C1qc/C1qb/Pik3cd/Plcb2/Ppp2r2d/Tlr9/Ticam1/Tlr6/Ifng/Irak4/Kng2/Nos2/Ppp2r2a/Nfkb1/Tlr4/Ifnb1,42,yes,Severe
Human Diseases,Cardiovascular disease,mmu05417,Lipid and atherosclerosis - Mus musculus (house mouse),71/1643,217/9577,0.32718894,1.907174972,6.151028722,1.24E-08,8.42E-08,5.87E-08,Fasl/Ccl3/Bax/Stat3/Il12b/Bid/Cyba/Pou2f2/Vav2/Cybb/Ncf1/Cd40/Tbk1/Nfkbia/Eif2s1/Traf3/Ppp3cc/Tnf/Jak2/Casp7/Ddit3/Irf7/Il6/Ly96/Casp1/Casp8/Ncf2/Selp/Hspa5/Traf2/Il1b/Nfatc2/Vcam1/Tlr2/Cxcl3/Cxcl1/Pycard/Cd40lg/Ikbkb/Casp3/Myd88/Nlrp3/Nfatc1/Vav1/Ccl5/Ccl12/Ccl2/Pik3cd/Plcb2/Lyn/Ikbke/Atf4/Ticam1/Tlr6/Rap1b/Ticam2/Cxcl2/Irak4/Cycs/Tank/Ncf4/Hspa1a/Hspa8/Apaf1/Hsp90aa1/Hsp90ab1/Nfkb1/Icam1/Tlr4/Ifnb1/Trp53,71,yes,Severe
Organismal Systems,Immune system,mmu04657,IL-17 signaling pathway - Mus musculus (house mouse),39/1643,93/9577,0.419354839,2.444407359,6.369423799,1.49E-08,9.96E-08,6.93E-08,Il17ra/Traf4/Traf3ip2/Tnfaip3/Tbk1/Ccl11/Nfkbia/Traf3/Usp25/Tnf/Fosl1/Il6/Il17a/Casp8/Ccl20/Lcn2/Traf2/Il1b/Cxcl5/Cxcl3/Cxcl1/Ikbkb/Casp3/Cxcl10/Ccl12/Ccl7/Ccl2/Csf3/Elavl1/Il17f/Ikbke/Mapk6/Mmp13/Ifng/Cxcl2/Fosb/Hsp90aa1/Hsp90ab1/Nfkb1,39,yes,Severe
Genetic Information Processing,Translation,mmu03010,Ribosome - Mus musculus (house mouse),82/1643,265/9577,0.309433962,1.803681714,6.03740476,1.68E-08,1.10E-07,7.67E-08,Rpl13/Rps11/Rpl8/Rps9/Rplp1/Rps18/Rpl10/Rps15a/Rps25/Rpl15/Rps5/Rpl19/Mrpl24/Rps27a/Mrpl36/Mrpl13/Rps14/Mrpl21/Rps24/Rps26/Rplp2/Rpl14/Mrpl30/Mrpl9/Rps20/Rps6/Mrpl1/Rpl6/Rpl28/Mrps11/Rps3/Rps4x/Rpl4/Rpsa/Mrpl15/Rps16/Rpl10a/Fau/Rpl12/Rpl39l/Mrpl12/Rps19/Rpl37/Rps2/Rpl18a/Rpl27a/Mrps7/Rpl9/Rps8/Rpl29/Rps23/Rpl36al/Mrps16/Rps10/Rpl38/Mrpl18/Rpl32/Rpl36/Rpl23a/Rpl30/Rpl18/Rpl11/Rpl3/Rpl35a/Rpl26/Rps7/Rps12/Rpl34/Rpl17/Rpl7a/Rpl35/Rpl27/Rplp0/Rpl23/Rpl31/Rpl13a/Rpl39/Gm15501/Uba52/Rps13/Rpl41/Rpl24,82,yes,Severe
Human Diseases,Immune disease,mmu05320,Autoimmune thyroid disease - Mus musculus (house mouse),34/1643,76/9577,0.447368421,2.607697729,6.403114791,1.77E-08,1.13E-07,7.90E-08,Fasl/Gzmb/H2-M3/Il10/Cd40/Cd86/H2-Oa/Ctla4/Cd28/Cd40lg/H2-Q4/H2-Ea/H2-Aa/Prf1/H2-DMb2/H2-DMa/H2-Ob/H2-T24/H2-T22/H2-Q7/H2-Eb1/H2-K1/H2-T23/H2-Q10/H2-Eb2/H2-Bl/H2-Q6/H2-D1/H2-Ab1/Cd80/H2-T10/H2-Q1/H2-DMb1/H2-Q2,34,yes,Severe
Human Diseases,Infectious disease: viral,mmu05170,Human immunodeficiency virus 1 infection - Mus musculus (house mouse),76/1643,241/9577,0.315352697,1.83818185,5.996959345,2.31E-08,1.45E-07,1.01E-07,Fasl/Cd3g/Calr/Bax/Bid/Cd247/Apobec3/H2-M3/Cdk1/Tbk1/Nfkbia/Ripk1/Ppp3cc/Cd4/Tapbp/Tap2/Sting1/Tnf/Rps6kb2/Casp8/Traf2/Pdia3/Nfatc2/Samhd1/Tlr2/Tnfrsf1b/Limk1/Ikbkb/Casp3/Cd3e/Cd3d/Chek1/Ccnb2/Cgas/Myd88/Nfatc1/Rac2/Plcg2/Map2k2/H2-Q4/Tap1/Gngt2/Pik3cd/Ap1g2/Ccnb1/Cdc25c/Bst2/Prkcb/H2-T24/H2-T22/Cfl1/Trim12c/Trim30d/Bak1/Ptk2b/Irak4/H2-Q7/B2m/H2-K1/Cycs/H2-T23/H2-Q10/H2-Bl/H2-Q6/H2-D1/Ccr5/H2-T10/H2-Q1/H2-Q2/Raf1/Map2k1/Crkl/Nfkb1/Tlr4/Ifnb1/Ap1s3,76,yes,Severe
Environmental Information Processing,Signaling molecules and interaction,mmu04514,Cell adhesion molecules - Mus musculus (house mouse),61/1643,181/9577,0.337016575,1.964459972,5.96096736,3.92E-08,2.42E-07,1.69E-07,Itgb2/Itgb7/H2-M3/Cd274/Pdcd1lg2/Cd40/Vcan/Cd86/Cd4/H2-Oa/Cd6/Icos/Ctla4/Cd28/Pdcd1/Ptprc/Nfasc/Selp/Sell/Itga4/Siglec1/Cd2/Vcam1/Cd22/Itgam/Itgal/Cd40lg/Cd226/H2-Q4/H2-Ea/H2-Aa/H2-DMb2/H2-DMa/H2-Ob/Cldn4/Selplg/Jaml/Lrrc4/Spn/Cd8b1/H2-T24/Cd8a/H2-T22/H2-Q7/H2-Eb1/H2-K1/H2-T23/H2-Q10/H2-Eb2/Tigit/H2-Bl/H2-Q6/H2-D1/H2-Ab1/Cd80/H2-T10/H2-Q1/H2-DMb1/H2-Q2/Icam1/Pvr,61,yes,Severe
Human Diseases,Cancer: overview,mmu05203,Viral carcinogenesis - Mus musculus (house mouse),72/1643,228/9577,0.315789474,1.840727809,5.846621896,5.08E-08,3.08E-07,2.15E-07,Snd1/Ccne1/Irf9/Scin/Bax/Stat3/Stat5a/Ranbp1/Cdc20/Cdk4/H2-M3/Mapkapk2/Ywhah/Cdk1/Rel/Nfkbia/Traf3/Syk/Cdkn1a/Eif2ak2/C3/Mrps18b/Nfkb2/Cdk2/Irf7/Casp8/Sp100/Traf1/Traf2/Creb3l1/Rbl1/Ccna2/Ccne2/Hdac1/Casp3/Jak3/Chek1/Pkm/Rasa2/Egr3/Ccnd3/H2-Q4/Pik3cd/Lyn/Ccr8/Atf4/Ccr4/Ywhag/Creb5/H2-T24/Skp2/H2-T22/Bak1/Grb2/H2-Q7/H2-K1/H2-T23/H2-Q10/H2-Bl/H2-Q6/H2-D1/Ccr5/H2-T10/H2-Q1/H2-Q2/Actn1/Atf6b/Ywhaz/Nfkb1/Egr2/Trp53/H4c18,72,yes,Severe
Organismal Systems,Immune system,mmu04666,Fc gamma R-mediated phagocytosis - Mus musculus (house mouse),38/1643,94/9577,0.404255319,2.356392691,6.013692879,7.42E-08,4.43E-07,3.08E-07,Scin/Hck/Arpc2/Arpc5/Vav2/Fcgr1/Ncf1/Syk/Prkcd/Rps6kb2/Inpp5d/Actr3/Ptprc/Fcgr2b/Arpc5l/Arpc3/Arpc1b/Limk1/Vasp/Lat/Was/Rac2/Pla2g4c/Vav1/Plcg2/Asap3/Pik3cd/Lyn/Arf6/Marcksl1/Prkcb/Cfl1/Fcgr4/Fcgr3/Arpc4/Raf1/Map2k1/Crkl,38,yes,Severe
Human Diseases,Immune disease,mmu05310,Asthma - Mus musculus (house mouse),16/1643,25/9577,0.64,3.730541692,6.22065924,2.26E-07,1.32E-06,9.23E-07,Il10/Cd40/Ccl11/H2-Oa/Tnf/Cd40lg/H2-Ea/H2-Aa/H2-DMb2/H2-DMa/H2-Ob/Fcer1g/H2-Eb1/H2-Eb2/H2-Ab1/H2-DMb1,16,yes,Severe
Human Diseases,Infectious disease: viral,mmu05163,Human cytomegalovirus infection - Mus musculus (house mouse),76/1643,254/9577,0.299212598,1.744101677,5.469354228,2.62E-07,1.51E-06,1.05E-06,Fasl/Ccl3/Calr/Bax/Stat3/Bid/Cdk4/H2-M3/Ccl4/Tbk1/Gna13/Nfkbia/Ripk1/Ppp3cc/Myc/Cdkn1a/Tapbp/Tap2/Sting1/Tnf/Rps6kb2/Il6/Ccr1/Casp8/Cxcr2/Traf2/Creb3l1/Pdia3/Il1b/E2f1/Nfatc2/Ikbkb/Casp3/Il10ra/Cgas/Nfatc1/Rac2/Map2k2/Ccl5/Ccl12/Ccl2/H2-Q4/Tap1/Gngt2/Pik3cd/Ptger4/Plcb2/Atf4/Prkcb/Creb5/H2-T24/H2-T22/Bak1/Ptk2b/Grb2/H2-Q7/B2m/H2-K1/Cycs/H2-T23/H2-Q10/H2-Bl/H2-Q6/H2-D1/Ccr5/H2-T10/H2-Q1/H2-Q2/Raf1/Map2k1/Crkl/Atf6b/Itgb3/Nfkb1/Ifnb1/Trp53,76,yes,Severe
Human Diseases,Infectious disease: parasitic,mmu05144,Malaria - Mus musculus (house mouse),31/1643,77/9577,0.402597403,2.346728743,5.399187897,1.30E-06,7.35E-06,5.12E-06,Itgb2/Tgfb1/Klra17/Il10/Cd40/Tnf/Il6/Selp/Il1b/Vcam1/Tlr2/Klrk1/Klrb1f/Klra5/Klra2/Klrb1c/Itgal/Cd40lg/Myd88/Ccl12/Ccl2/Ackr1/Csf3/Tlr9/Ifng/Klra7/Gypc/Klra9/Icam1/Tlr4/Thbs1,31,yes,Severe
Environmental Information Processing,Signal transduction,mmu04630,JAK-STAT signaling pathway - Mus musculus (house mouse),54/1643,171/9577,0.315789474,1.840727809,5.047958003,2.36E-06,1.32E-05,9.18E-06,Il12rb1/Irf9/Il7r/Stat3/Stat5a/Ptpn6/Il12b/Il27ra/Il10/Il12rb2/Myc/Ifngr2/Ifnar2/Cdkn1a/Il15ra/Pim1/Ptpn2/Jak2/Il6/Stat1/Il24/Il2ra/Il21/Csf3r/Il21r/Il4ra/Il2rg/Jak3/Il10ra/Tyk2/Cish/Crlf2/Ccnd3/Lif/Socs1/Csf3/Mcl1/Pik3cd/Stat2/Il27/Socs3/Ifng/Osm/Csf2ra/Grb2/Stat4/Il2rb/Csf2rb/Csf2rb2/Cntf/Raf1/Stat6/Il13ra2/Ifnb1,54,yes,Severe
